YEAR,TEAM,WAB RANK,ELO,Q1 W,Q2 W,B POWER
2026,Kennesaw St.,-8.94,1409.69,0,0,
2026,Utah,-8.95,1281.91,,,
2026,Furman,-9,1383.24,0,0,
2026,Saint Peter's,-9.02,1297.78,,,
2026,Bethune-Cookman,-9.09,1249.8,,,
2026,Quinnipiac,-9.14,1271.58,,,
2026,Marshall,-9.16,1313.26,,,
2026,Vermont,-9.2,1330.02,,,
2026,Western Ky.,-9.2,,,,
2026,Montana St.,-9.21,,,,
2026,Oakland,-9.22,1272.64,,,
2026,Morehead St.,-9.25,1320.24,,,
2026,Towson,-9.37,1392.96,,,
2026,CSUN,-9.38,,,,
2026,Middle Tenn.,-9.45,1337.62,,,
2026,Louisiana,-9.49,1199.96,,,
2026,Georgia,-9.52,1572.01,6,6,
2026,Tulane,-9.54,1340.98,,,
2026,Southeast Mo. St.,-9.58,1322.84,,,
2026,UC,-9.61,,,,
2026,A&M-Corpus,-9.67,,,,
2026,Rhode,-9.73,,,,
2026,App,-9.81,,,,
2026,Southern Ill.,-9.84,1360.41,,,
2026,Coastal,-9.84,,,,
2026,Wofford,-9.87,1266.1,,,
2026,Fordham,-9.96,1320.13,,,
2026,Marist,-9.99,1307.56,,,
2026,Montana,-10.01,1283.95,,,
2026,Memphis,-10.02,1322.14,,,
2026,Charlotte,-10.03,1339.26,,,
2026,Boston,-10.07,,,,
2026,Central Conn. St.,-10.07,1224.14,,,
2026,Bowling,-10.19,,,,
2026,UC,-10.26,,,,
2026,Samford,-10.27,1341.74,,,
2026,Idaho,-10.31,1324.6,0,0,
2026,Purdue,-10.4,1730.36,10,6,
2026,St.,-10.48,,,,
2026,Colgate,-10.54,1209.35,,,
2026,Cal St.,-10.57,,,,
2026,Fairfield,-10.57,1335.46,,,
2026,Northern Ky.,-10.62,,,,
2026,Texas St.,-10.62,,,,
2026,Fresno St.,-10.63,,,,
2026,Green,-10.64,,,,
2026,Monmouth,-10.71,1389.62,,,
2026,Detroit,-10.78,1349.58,,,
2026,Buffalo,-10.85,1202.82,,,
2026,James,-10.92,,,,
2026,Western Caro.,-10.95,1291.4,,,
2026,SIUE,-10.98,1222.88,,,
2026,Iona,-10.99,1255.99,,,
2026,Temple,-11.02,1269.68,,,
2026,Southern U.,-11.03,,,,
2026,Portland,-11.27,1259.05,,,
2026,Stony,-11.28,,,,
2026,Richmond,-11.36,1218.49,,,
2026,Campbell,-11.4,1306.45,,,
2026,Lindenwood,-11.45,1170.85,,,
2026,New,-11.47,,,,
2026,Weber St.,-11.71,,,,
2026,Denver,-11.77,1196.25,,,
2026,Ohio,-11.79,1242.53,,,
2026,Southern Miss.,-11.8,1347.58,,,
2026,Massachusetts,-11.82,,,,
2026,Dartmouth,-11.87,1174.8,,,
2026,Washington St.,-11.9,1453.36,,,
2026,Radford,-11.95,1208.98,,,
2026,North,-12.05,,,,
2026,New Mexico St.,-12.17,1300.08,,,
2026,FIU,-12.18,1249.34,,,
2026,American,-12.24,1154.46,,,
2026,Alabama A&M,-12.4,1158.33,,,
2026,South,-12.44,,,,
2026,N.C.,-12.46,,,,
2026,Florida A&M,-12.48,1206.72,,,
2026,Drexel,-12.49,1306.32,,,
2026,Tarleton St.,-12.61,1142.32,,,
2026,Lehigh,-12.72,1288.17,0,0,
2026,UNC,-12.77,,,,
2026,Rice,-12.86,1246,,,
2026,Ga.,-12.93,,,,
2026,West Ga.,-13.01,,,,
2026,Longwood,-13.11,1189.67,,,
