fetched_at,commence_time,home_team,away_team,bookmaker,market,team,price,point
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,fanduel,spreads,St. John's Red Storm,-120,-20.5
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,fanduel,totals,Over,-120,154.5
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,fanduel,totals,Under,-110,154.5
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,betmgm,h2h,Providence Friars,1800,
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,betmgm,h2h,St. John's Red Storm,-10000,
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,betmgm,totals,Over,-115,159.5
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,betmgm,totals,Under,-115,159.5
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,pinnacle,h2h,Providence Friars,612,
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,pinnacle,h2h,St. John's Red Storm,-1126,
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,pinnacle,spreads,Providence Friars,-117,13.5
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,pinnacle,spreads,St. John's Red Storm,-113,-13.5
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,pinnacle,totals,Over,-117,155.5
20260312,2026-03-12T16:00:00Z,St. John's Red Storm,Providence Friars,pinnacle,totals,Under,-113,155.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,draftkings,h2h,NC State Wolfpack,165,
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,draftkings,h2h,Virginia Cavaliers,-215,
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,draftkings,spreads,NC State Wolfpack,-115,3.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,draftkings,spreads,Virginia Cavaliers,-115,-3.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,draftkings,totals,Over,-110,155.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,draftkings,totals,Under,-120,155.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,fanduel,h2h,NC State Wolfpack,132,
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,fanduel,h2h,Virginia Cavaliers,-170,
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,fanduel,spreads,NC State Wolfpack,-122,3.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,fanduel,spreads,Virginia Cavaliers,-108,-3.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,fanduel,totals,Over,-118,153.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,fanduel,totals,Under,-114,153.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,pinnacle,h2h,NC State Wolfpack,145,
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,pinnacle,h2h,Virginia Cavaliers,-197,
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,pinnacle,spreads,NC State Wolfpack,-124,4.0
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,pinnacle,spreads,Virginia Cavaliers,-107,-4.0
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,pinnacle,totals,Over,-113,151.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,pinnacle,totals,Under,-117,151.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,betmgm,h2h,NC State Wolfpack,145,
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,betmgm,h2h,Virginia Cavaliers,-190,
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,betmgm,spreads,NC State Wolfpack,-110,3.5
20260312,2026-03-12T16:04:28Z,Virginia Cavaliers,NC State Wolfpack,betmgm,spreads,Virginia Cavaliers,-118,-3.5
